Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
221438,"*Ventimila leghe sotto i mari / Jules Verne ; voci narranti del romanzo Maria Teresa Borsò ... [et al.]. - [Roma] : Associazione culturale F.A.T.E., [2003]. - 14 compact disc (ca. 14 h. compless.) : son. ((Tit del contenitore. - Contiene: CD 1.: p.te 1., prefazione, capp. 1.-4., 5.(p.te 1.); CD 2.:capp. 5. (p.te 2.), 6.-9.; CD 3.: capp. 10.-13.; CD 4.: capp. 14.-16.; CD 5.: capp. 17.-19.; CD 6.: capp. 20.-21.; CD 7.: capp. 22.-24.; CD 8.: p.te 2., capp. 1.-4.; CD 9.: 5.-8.; CD 10.: capp. 9.-11.; CD 11.: capp. 12.-14. (p.te 1.); CD 12.: capp. 14. (p.te 2.), 15.-17.; CD 13.: capp. 18.-20.; CD 14.: capp. 21.-23.",Monografia,NA,20,29,4
806868,"*Kobane calling / Zerocalcare. - Milano : Bao publishing, 2016. - 262 p. : fumetti ; 27 cm",Monografia,NA,20,28,5
98417,"*Vocabolario greco italiano / Lorenzo Rocci. - 37. ed. - Milano : Dante Alighieri, 1993. - XX, 2074 p. ; 26 cm.",Monografia,NA,20,27,6
630836,"*Vocabolario della lingua latina : *Il : latino-italiano, italiano-latino / Luigi Castiglioni, Scevola Mariotti ; redatto con la collaborazione di Arturo Brambilla e Gaspare Campagna. - 4. ed. / a cura di Piergiorgio Parroni. -  Torino : Loescher, c2007. - 2272 p. ; 25 cm",Monografia,NA,20,27,7
746984,"2: *Storia del nuovo cognome : giovinezza / Elena Ferrante. - Roma : E/O, 2012. - 470 p. ; 21 cm",Monografia,NA,20,27,8
421121,"*Alfabeto delle fiabe / Antonella Abbatiello, Bruno Tognolini. - Milano : Topipittori, 2011. - [32] p. : in gran parte ill. ; 32 cm. ((Contiene una tavola sinottica in cui rintracciare fiabe e simboli, facendo riferimento ai testi raccolti da Italo Calvino nelle Fiabe Italiane. - Realizzato nell'ambito del progetto Leggere che piacere.",Monografia,Letteratura per ragazzi,20,25,9
739650,"*Dimentica il mio nome / Zerocalcare [i.e. Michele Rech]. - Milano : Bao Publishing, 2014. - 235 p. : fumetti ; 25 cm.",Monografia,NA,20,25,10
625762,"Un *polpo alla gola / Zerocalcare [i.e. Michele Rech]. - Milano : Bao, 2012. - 178 p. : fumetti ; 24 cm",Monografia,Letteratura per ragazzi,20,24,11
715063,"Il *francese senza sforzo / [di Anthony Bulger ; adattamento italiano di Maurizio Bagatin ; illustrazioni di J. L. Goussé]. - Chivasso : Assimil Italia, [2008]. - 1 volume (XVII, 542 p. : ill. ; 18 cm) , 4 compact disc ; in contenitore, 24x18x5 cm. ((Indicazioni di responsabilità sul volume. - Sulla custodia: Assimil : il metodo intuitivo. Livello B2: principianti e intermedi. - Titolo del compact disc: Français.",Monografia,NA,20,24,12
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,20,23,13
