Identificativo Titolo,Titolo,Natura,Genere 1,age_decade,n,grouped_rowid
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,70,51,15
746986,"3: *Storia di chi fugge e di chi resta : *tempo di mezzo / Elena Ferrante. - Roma : E/O, 2013. - 382 p. ; 21 cm.",Monografia,NA,70,50,16
823950,"Le *otto montagne / Paolo Cognetti. - Torino : Einaudi, 2016. - 199 p. ; 22 cm.",Monografia,NA,70,49,17
880335,"*Non solo di cose d'amore : noi, Socrate e la ricerca della felicità / Pietro Del Soldà. - Venezia : Marsilio, 2018. - 191 p. ; 21 cm.",Monografia,NA,70,48,18
867733,"*Sangue giusto / Francesca Melandri. - [Milano] : Rizzoli, 2017. - 527 p. ; 24 cm",Monografia,NA,70,47,19
871523,"Il *puzzle Moro / Giovanni Fasanella. - Milano : Chiarelettere, 2018. - 358 p. ; 21 cm. ((Sulla copertina: Da testimonianze e documenti inglesi e americani desecretati la verità sull'assassinio del leader DC.",Monografia,NA,70,47,20
372859,"La *fine è il mio inizio : un padre racconta al figlio il grande viaggio della vita / Tiziano Terzani ; letto da Edoardo Siravo. - [Milano] : Salani, ©2008. - 12 compact disc (14 h 4 min) ; 12 cm + 1 fasc. ([4] carte). ((Versione integrale. - In contenitore. - Tit. del contenitore. - Prima del tit.: Longanesi presenta.",Monografia,NA,80,24,1
819897,"*Dieci e lode / Sveva Casati Modignani. - Milano : Sperling & Kupfer, 2016. - VIII, 502 p. ; 23 cm",Monografia,NA,80,17,2
842687,"I *guardiani / Maurizio De Giovanni. - [Milano] : Rizzoli, 2017. - 362 p. ; 24 cm",Monografia,NA,80,17,3
859858,"Le *tre del mattino / Gianrico Carofiglio. - Torino : Einaudi, 2017. - 165 p. ; 22 cm",Monografia,NA,80,16,4
314102,"La *Sistina svelata : iconografia di un capolavoro / Heinrich W. Pfeiffer. - [Città del Vaticano] : Musei vaticani : Libreria editrice vaticana ; [Milano] : Jaca book, [2007]. - 351 p. : ill. ; 34 cm. ((Traduzione di Renato Tallone.",Monografia,NA,80,16,5
874580,"1: L'*amica geniale : infanzia, adolescenza / Elena Ferrante. - Roma : E/O, 2011. - 327 p. ; 21 cm",Monografia,NA,80,14,6
639544,"La *carta più alta /  Marco Malvaldi. - Palermo : Sellerio, 2012. - 198 p. ; 17 cm",Monografia,NA,80,12,7
808586,"*Caffè amaro / Simonetta Agnello Hornby. - Milano : Feltrinelli, 2016. - 348 p. ; 23 cm.",Monografia,NA,80,12,8
811765,"*Magnifica / Maria Rosaria Valentini. - Palermo : Sellerio, 2016. - 268 p. ; 21 cm",Monografia,NA,80,12,9
861921,"*Festa di famiglia / Sveva Casati Modignani. - [Milano] : Sperling & Kupfer, 2017. - 184 p. ; 21 cm",Monografia,NA,80,12,10
824924,"*Pane : per i Bastardi di Pizzofalcone / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 331 p. ; 22 cm",Monografia,NA,80,12,11
873728,"L'*agente del caos / Giancarlo De Cataldo. - Torino : Einaudi, 2018. - 321 p. ; 22 cm",Monografia,NA,80,12,12
821907,"L'*estate fredda / Gianrico Carofiglio. - Torino : Einaudi, 2016. - 340 p. ; 22 cm",Monografia,NA,80,12,13
317771,"*Sandro Veronesi legge Caos calmo / di Sandro Veronesi. - Roma : Emons Italia, [2007!. - 12 compact disc (927 min., 00 sec. compless.) ; in contenitore, 20x17x3 cm + 1 fasc. ((Versione integrale. - Tit. del contenitore. - Tit. del fasc.: La pizza più buona del mondo: conversazione con Sandro Veronesi.",Monografia,NA,80,12,14
812200,"*Serenata senza nome : notturno per il commissario Ricciardi / Maurizio De Giovanni. - Torino : Einaudi, 2016. - 373 p. ; 22 cm.",Monografia,NA,80,11,15
868038,"Il *lato oscuro dell'addio / Michael Connelly ; traduzione di Alfredo Colitto. - Milano : Piemme, 2018. - 368 p. ; 24 cm",Monografia,NA,80,11,16
867427,"*Questa sera è già domani / Lia Levi. - Roma : E/O, 2017. - 217 p. ; 21 cm",Monografia,NA,80,11,17
870429,"La *corsara : ritratto di Natalia Ginzburg / Sandra Petrignani. - Vicenza : Pozza, 2018. - 459  p. : ill. ; 22 cm. ((In copertina: Neri Pozza narrativa",Monografia,NA,80,11,18
748748,"Il *resto della settimana / Maurizio De Giovanni. - [Milano] : Rizzoli, 2015. - 300 p. ; 24 cm.",Monografia,NA,80,10,19
813221,"*7-7-2007 / Antonio Manzini. - Palermo : Sellerio, 2016. - 369 p. ; 17 cm",Monografia,NA,80,10,20
303400,"Le *due tigri / Emilio Salgari ; voci narranti del romanzo Maria Teresa Borsò ... [et al.]. - [Roma] : Associazione culturale F.A.T.E., [2003]. - 10 compact disc (ca. 10 h. compless.) : son. ((Tit del contenitore. - Contiene: CD 1.: introduzione, capp. 1.-3.; CD 2.:capp. 5.-6.; CD 3.: capp. 7.-10.; CD 4.: capp. 11.-13.; CD 5.: capp. 14.-16.; CD 6.: capp. 17.-20.; CD 7.: capp. 21.-24.; CD 8.: capp. 25.-28.; CD 9.: capp. 29.-31.; CD 10.: capp. 32.-33., conclusione.",Monografia,Letteratura per ragazzi,90,10,1
219843,"Il *ritratto di Dorian Gray / Oscar Wilde ; voci narranti del romanzo Maria Teresa Borsò ... [et al.]. - [Roma] : Associazione culturale F.A.T.E., [2003]. - 9 compact disc (ca. 9 h. compless.) : son. ((Tit. del contenitore. - Contiene: CD 1.: prefazione, capp. 1., 2.(parte 1.); CD 2.: capp. 2. (parte 2.), 3., 4. (p.te 1.); CD 3.: capp. 4 (p.te 2.), 5.-6.; CD 4.: capp. 7.-8.; CD 5.: capp. 9.-10.; CD 6.: capp. 11 (p.ti 1. e 2.), 12.; CD 7.: capp. 13.-15.; CD 8.: capp. 16.-18.; CD 9.: capp. 19.-20.",Monografia,NA,90,9,2
220611,"*Racconti / Mark Twain ; voci narranti dei racconti: Maria Teresa Borsò ... [et al.]. - [Roma] : Associazione culturale F.A.T.E., [2003]. - 5 compact disc (ca. 3 h. compless.) : son. ((Tit. del contenitore. - Contiene: L'uomo che corruppe Hadleyburg; Un biglietto da un milione di sterline; Un legato di trentamila dollari.",Monografia,NA,90,5,3
392433,"I *segreti del Vaticano : storie, luoghi, personaggi di un potere millenario / Corrado Augias. - Milano : Mondadori, 2010. - 385 p., [12] carte di tav. : ill. ; 23 cm. ((In appendice: Quando una Chiesa si fa Stato, dello stesso autore",Monografia,NA,90,5,4
608260,"Una *lama di luce / Andrea Camilleri. - Palermo : Sellerio, 2012. - 263 p. ; 17 cm",Monografia,NA,90,4,5
365634,"*Musica dura / Michael Connelly ; traduzione di Gianni Montanari. - Casale Monferrato : Piemme, 2005. - 488 p. ; 18 cm.",Monografia,NA,90,3,6
388898,"*Acqua in bocca / Andrea Camilleri, Carlo Lucarelli. - Roma : Minimum fax, 2010. - 108 p. : ill. ; 19 cm.",Monografia,NA,90,3,7
639544,"La *carta più alta /  Marco Malvaldi. - Palermo : Sellerio, 2012. - 198 p. ; 17 cm",Monografia,NA,90,3,8
298907,"Le *inchieste del commissario Collura / Andrea Camilleri. - Milano : Oscar Mondadori, 2007. - 109 p. ; 18 cm.",Monografia,NA,90,3,9
635877,"La *rivoluzione della luna /  Andrea Camilleri. - Palermo : Sellerio, 2013. - 276 p. ; 17 cm",Monografia,NA,90,3,10
746987,"4: *Storia della bambina perduta : maturità - vecchiaia / Elena Ferrante. - Roma : E/O, 2014. - 451 p. ; 21 cm",Monografia,NA,90,3,11
344213,"Un *sabato, con gli amici : romanzo / Andrea Camilleri. - Milano : Mondadori, 2009. - 142 p. ; 23 cm.",Monografia,NA,90,3,12
644326,"Il *segugio della morte /Agatha Christie ; traduzione e postfazione di Giuseppe Lippi. -    Milano : Oscar Mondadori, stampa 2009. - 223 p. ; 20 cm. ((Sul dorso: Narrativa 1455.",Monografia,NA,90,3,13
88476,"*Alla deriva / Agatha Christie ; traduzione di Giovanna Soncelli ; prefazione di Alex Falzon. - Milano : A. Mondadori, stampa 1999. - 191 p. ; 19 cm",Monografia,NA,90,3,14
173035,"La *serie infernale / Agatha Christie ; traduzione di T.N.S. ; prefazione e postfazione di Renato Olivieri. - Milano : A. Mondadori, 1979. - 205 p. ; 19 cm.",Monografia,NA,90,3,15
276196,"*C'è un cadavere in biblioteca / Agatha Christie ; traduzione di Alberto Tedeschi. - 22. rist. - Milano : A. Mondadori, stampa 2004. - 202 p. ; 20 cm.",Monografia,NA,90,3,16
188969,"*Dieci piccoli indiani (...e poi non rimase nessuno) / Agatha Christie ; traduzione di Beata Della Frattina ; prefazione e postfazione di Alex R. Falzon. - Milano : Oscar Mondadori, 1982. - 180 p. ; 20 cm.",Monografia,Letteratura per ragazzi,90,3,17
817670,"*1Q84 / Murakami Haruki ; traduzione dal giapponese di Giorgio Amitrano. - Torino : Einaudi, 2014. - 3 volumi (1157 p.) ; 21 cm. ((In custodia",Monografia,NA,90,3,18
842687,"I *guardiani / Maurizio De Giovanni. - [Milano] : Rizzoli, 2017. - 362 p. ; 24 cm",Monografia,NA,90,3,19
405376,"*Vicino a te non ho paura / Nicholas Sparks ; traduzione di Alessandra Petrelli. - [Milano] : Frassinelli, 2011. - IX, 399 p. ; 22 cm.",Monografia,NA,90,3,20
