character,film,release_date,screen_time
Harry Potter,Deathly Hallows: Part 2,2011,48:00
Hermione Granger,Deathly Hallows: Part 2,2011,26:00
Ron Weasley,Deathly Hallows: Part 2,2011,25:00
Voldemort (Harry Potter),Deathly Hallows: Part 2,2011,10:30
Severus Snape,Deathly Hallows: Part 2,2011,9:45
Neville Longbottom,Deathly Hallows: Part 2,2011,5:45
Albus Dumbledore,Deathly Hallows: Part 2,2011,5:45
Griphook (Harry Potter),Deathly Hallows: Part 2,2011,5:30
Ginny Weasley,Deathly Hallows: Part 2,2011,3:45
Minerva McGonagall,Deathly Hallows: Part 2,2011,3:30
Aberforth Dumbledore,Deathly Hallows: Part 2,2011,3:15
Garrick Ollivander,Deathly Hallows: Part 2,2011,3:15
Bogrod (Harry Potter),Deathly Hallows: Part 2,2011,3:00
Draco Malfoy,Deathly Hallows: Part 2,2011,2:30
Luna Lovegood,Deathly Hallows: Part 2,2011,2:15
Helena Ravenclaw,Deathly Hallows: Part 2,2011,2:15
Molly Weasley,Deathly Hallows: Part 2,2011,2:00
Bellatrix Black Lestrange,Deathly Hallows: Part 2,2011,1:45
Lily Evans Potter,Deathly Hallows: Part 2,2011,1:45
Albus Severus Potter,Deathly Hallows: Part 2,2011,1:45
Nagini (Harry Potter),Deathly Hallows: Part 2,2011,1:45
Narcissa Black Malfoy,Deathly Hallows: Part 2,2011,1:30
Lucius Malfoy,Deathly Hallows: Part 2,2011,1:30
Remus Lupin,Deathly Hallows: Part 2,2011,1:30
Filius Flitwick,Deathly Hallows: Part 2,2011,1:30
Blaise Zabini,Deathly Hallows: Part 2,2011,1:30
Seamus Finnigan,Deathly Hallows: Part 2,2011,1:15
Cho Chang,Deathly Hallows: Part 2,2011,1:15
Gregory Goyle,Deathly Hallows: Part 2,2011,1:15
Rubeus Hagrid,Deathly Hallows: Part 2,2011,1:00
Arthur Weasley,Deathly Hallows: Part 2,2011,1:00
Lavender Brown,Deathly Hallows: Part 2,2011,1:00
Padma Patil,Deathly Hallows: Part 2,2011,1:00
Dean Thomas,Deathly Hallows: Part 2,2011,1:00
Kingsley Shacklebolt,Deathly Hallows: Part 2,2011,1:00
Amycus Carrow,Deathly Hallows: Part 2,2011,1:00
Alecto Carrow,Deathly Hallows: Part 2,2011,1:00
George Weasley,Deathly Hallows: Part 2,2011,1:00
Fred Weasley,Deathly Hallows: Part 2,2011,0:45
Horace Slughorn,Deathly Hallows: Part 2,2011,0:45
Leanne (Harry Potter),Deathly Hallows: Part 2,2011,0:45
Romilda Vane,Deathly Hallows: Part 2,2011,0:45
Katie Bell,Deathly Hallows: Part 2,2011,0:45
Cormac McLaggen,Deathly Hallows: Part 2,2011,0:45
Peter Pettigrew,Deathly Hallows: Part 2,2011,0:45
Nigel Wolpert,Deathly Hallows: Part 2,2011,0:45
Bill Weasley,Deathly Hallows: Part 2,2011,0:30
Fleur Delacour,Deathly Hallows: Part 2,2011,0:30
Nymphadora Tonks,Deathly Hallows: Part 2,2011,0:30
Fenrir Greyback,Deathly Hallows: Part 2,2011,0:30
Pius Thicknesse,Deathly Hallows: Part 2,2011,0:30
James Potter,Deathly Hallows: Part 2,2011,0:30
Sirius Black,Deathly Hallows: Part 2,2011,0:30
Pomona Sprout,Deathly Hallows: Part 2,2011,0:30
Argus Filch,Deathly Hallows: Part 2,2011,0:30
Percy Weasley,Deathly Hallows: Part 2,2011,0:30
Sybill Trelawney,Deathly Hallows: Part 2,2011,0:15
Poppy Pomfrey,Deathly Hallows: Part 2,2011,0:15
Peter Pettigrew,Deathly Hallows: Part 2,2011,0:15
Sorting Hat (Harry Potter),Deathly Hallows: Part 2,2011,0:15
